School,Grade Levels,Hours,Address
Claire Lilienthal Alternative School K-8,"Elementary School, K-8 School, Middle School (K, 1-8)","Mo - Tu: 9:30 am-4:00 pm
We: 9:30 am-2:15 pm
Th - Fr: 9:30 am-4:00 pm","(3-8 Winfield Scott Campus) 3630 Divisadero Street, San Francisco, CA, 94123 (K-2 Madison Campus) 3950 Sacramento Street, San Francisco, California 94118"
Clarendon Alternative Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","500 Clarendon Avenue , San Francisco, California 94131"
Cleveland Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 9:30 am-3:45 pm
We: 9:30 am-2:30 pm
Th - Fr: 9:30 am-3:45 pm","455 Athens Street , San Francisco, California 94112"
Commodore Sloat Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","50 Darien Way , San Francisco, California 94127"
Commodore Stockton Early Education School,"Early Education (PreK, TK)",Mo - Fr: 7:45 am-5:45 pm,"1 Trenton Street , San Francisco, California 94108"
Daniel Webster Elementary School,"Elementary School (K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","465 Missouri Street , San Francisco, California 94107"
Dianne Feinstein Elementary School,"Elementary School (TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","2550 25th Avenue , San Francisco, California 94116"
Dolores Huerta Elementary School,"Early Education, Elementary School (TK, K, 1-5)","Mo - Tu: 8:40 am-2:55 pm
We: 8:40 am-1:40 pm
Th - Fr: 8:40 am-2:55 pm","65 Chenery Street , San Francisco, California 94131"
Downtown High School,High School (11-12),"Mo - Tu: 9:30 am-3:15 pm
We: 9:30 am-12:30 pm
Th - Fr: 9:30 am-3:15 pm","693 Vermont Street , San Francisco, California 94107"
Dr. Charles R. Drew College Preparatory Academy,"Early Education, Elementary School (PreK, TK, K, 1-5)","Mo - Tu: 7:50 am-2:05 pm
We: 7:50 am-12:50 pm
Th - Fr: 7:50 am-2:05 pm","50 Pomona Street , San Francisco, California 94124"
