"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants"
"944","John McLaren CDC","2055 Sunnydale Ave","San Francisco","94134","6316002","Own","16","School District (Sfusd)","57,885","-122.42318559799998","37.71365111100005","10",
"945","John Muir Elementary","380 Webster St","San Francisco","94117","0841010","Own","16","School District (Sfusd)","53,500","-122.42878722399996","37.77372369600005","5",
"946","John O'Connell High","2355 Folsom St","San Francisco","94110","3593040","Own","16","School District (Sfusd)","130,091","-122.41421483899995","37.759517188000075","9",
"947","John Yehall Chin Elementary","350 Broadway","San Francisco","94133","0143003","Own","16","School District (Sfusd)","23,100","-122.40321747699994","37.79861099400006","3",
"950","Jose Ortega Elementary","400 Sargent St","San Francisco","94132","7075056","Own","16","School District (Sfusd)","35,180","-122.46629406199997","37.716378991000056","11",
"955","June Jordan High","325 La Grande Ave","San Francisco","94112","6071002","Own","16","School District (Sfusd)","151,600","-122.42525276199996","37.71924049900008","11",
"957","Junipero Serra Annex CDC","155 Appleton Ave","San Francisco","94110","5710005","Own","16","School District (Sfusd)","5,800","-122.42259916999996","37.73845825800004","9",
"959","Junipero Serra Elementary","625 Holly Park Cir","San Francisco","94110","5718001","Own","16","School District (Sfusd)","34,200","-122.42151153699996","37.73684052900006","9",
"3316","KIPP Bayview Academy","1060 Key Ave","San Francisco","94124",,"Lease","9","Non-City",,"-122.39636283599998","37.71934281000006","10","School District (Sfusd)"
"3321","KIPP San Francisco Bay Academy","1430 Scott St","San Francisco","94115","0705001","Own","16","School District (Sfusd)",,"-122.43746647899997","37.78299854900007","5",
"749","KIPP San Francisco College Preparatory","1195 Hudson Ave","San Francisco","94124","4713005","Own","16","School District (Sfusd)",,"-122.38224144099996","37.73212188400004","10",
"982","Lafayette Elementary","4545 Anza St","San Francisco","94121","1579001","Own","16","School District (Sfusd)","54,283","-122.49687607699997","37.777056095000034","1",
"997","Lakeshore Elementary","220 Middlefield Dr","San Francisco","94132","7298005","Own","16","School District (Sfusd)","56,101","-122.48600857399998","37.730050694000056","4",
"3317","Las Americas Early Education","801 Treat Ave","San Francisco","94110","3613001","Own","16","School District (Sfusd)",,"-122.41324751599996","37.75712245900007","9",
"1001","Lawton Elementary","1570 31st Ave","San Francisco","94122","1876002","Own","16","School District (Sfusd)","64,940","-122.48909824299994","37.758050764000075","4",
"3318","Leadership Charter High School","350 Seneca Ave","San Francisco","94112","6962001","Own","16","School District (Sfusd)",,"-122.44526103099997","37.72167383100003","11",
"1009","Leola M Havard Early Education","1520 Oakdale Ave","San Francisco","94124","5310001","Own","16","School District (Sfusd)","74,100","-122.38881566499998","37.73405014100007","10",
"1010","Leonard R Flynn Elementary","3125 Cesar Chavez St","San Francisco","94110","5503001","Own","16","School District (Sfusd)","52,700","-122.41196533199997","37.74773759200008","9",
"3298","Life Learning Academy High School","651 8th TI St","San Francisco","94130",,"Own","16","School District (Sfusd)","20,723","-122.36907409799994","37.82492462500005","6",
"3323","Log Cabin Ranch County School","500 Log Cabin Ranch Rd","La Honda","94020","083300010","Own","16","School District (Sfusd)",,"-122.256858309","37.30485102400007",,
"1026","Longfellow Elementary","755 Morse St","San Francisco","94112","6474001","Own","16","School District (Sfusd)","40,500","-122.44712616399994","37.71023481700007","11",
"1031","Lowell High","1101 Eucalyptus Dr","San Francisco","94132","7298006","Own","16","School District (Sfusd)",,"-122.483402007","37.73062352900007","4",
"1048","Malcolm X Elementary","350 Harbor Rd","San Francisco","94124","4700071","Own","16","School District (Sfusd)","50,800","-122.38095370299999","37.73415421000004","10",
"1057","Marina Middle","3500 Fillmore St","San Francisco","94123","0468A001","Own","16","School District (Sfusd)","152,900","-122.43604686599997","37.80167993500004","2",
"1063","Marshall Elementary","1575 15th St","San Francisco","94103","3553031","Own","16","School District (Sfusd)","34,300","-122.41900747299997","37.766455231000066","9",
"1076","McKinley Elementary","1025 14th St","San Francisco","94114","2612001","Own","16","School District (Sfusd)","45,160","-122.43645485399998","37.76697184400007","8",
"1110","Miraloma Elementary","175 Omar Way","San Francisco","94127","2955B001","Own","16","School District (Sfusd)","51,900","-122.45013700199996","37.739125702000024","7",
"1119","Mission CDC","2950 Mission St","San Francisco","94110","6529019","Own","16","School District (Sfusd)","4,100","-122.41855693899998","37.749819168000045","9",
"1123","Mission Education Center Elementary","1670 Noe St","San Francisco","94131","6640001","Own","16","School District (Sfusd)","27,000","-122.43143584199998","37.74220410000004","8",
"3010","Mission High","3750 18th St","San Francisco","94114","3579006","Own","16","School District (Sfusd)","225,000","-122.42711267599998","37.761774299000024","8",
"1136","Monroe Elementary","260 Madrid St","San Francisco","94112","6010024","Own","16","School District (Sfusd)","53,400","-122.430476495","37.72564249000004","11",
"2062","New Traditions Elementary","2049 Grove St","San Francisco","94117","1194010","Own","16","School District (Sfusd)","26,300","-122.450266898","37.77388542800003","5",
"1186","Noriega CDC","1775 44th Ave","San Francisco","94122","2005002","Own","16","School District (Sfusd)","14,700","-122.50365891999996","37.75384963300007","4",
"1251","Paul Revere Elementary","555 Tompkins Ave","San Francisco","94110","5702030","Own","16","School District (Sfusd)","56,400","-122.41315842399996","37.73726298400004","9",
"3012","Philip & Sala Burton High","400 Mansell St","San Francisco","94134","6126016","Own","16","School District (Sfusd)",,"-122.40655226599995","37.721545278000065","9",
"1305","Playmates Nursery","2340 42nd Ave","San Francisco","94116","2370074","Own","16","School District (Sfusd)","3,000","-122.50013839499996","37.743125021000026","4",
"3319","Presidio Early Education School","387 Moraga Ave","San Francisco","94129",,"Lease","9","Non-City",,"-122.46101848699999","37.79767415500004","2","School District (Sfusd)"
"1344","Presidio Middle","450 30th Ave","San Francisco","94121","1461001","Own","16","School District (Sfusd)","140,000","-122.48962711099995","37.78086473700006","1",
"1375","Raoul Wallenberg High","40 Vega St","San Francisco","94118","1105001","Own","16","School District (Sfusd)","62,840","-122.44675748999998","37.779848110000046","2",
"1394","Redding Elementary","1421 Pine St","San Francisco","94109","0668001","Own","16","School District (Sfusd)","26,100","-122.41924339099995","37.78957754900006","3",
"3170","Richmond Neighborhood Center","750 31st Ave","San Francisco","94121","1614008","Own","16","School District (Sfusd)",,"-122.49028312999997","37.775099813000054","1",
"1411","Robert Louis Stevenson Elementary","2051 34th Ave","San Francisco","94116","2154001","Own","16","School District (Sfusd)","47,500","-122.49275608899995","37.748844414000075","4",
"1416","Rooftop Alternative (5-8 Mayeda Campus)","500 Corbett Ave","San Francisco","94114","2718002","Own","16","School District (Sfusd)","21,000","-122.44448962999996","37.75740830400008","8",
"1417","Rooftop Alternative (K-4 Burnett Campus)","445 Burnett Ave","San Francisco","94131","2756007","Own","16","School District (Sfusd)","23,300","-122.44391692399995","37.75499521000006","8",
"1418","Roosevelt Middle","460 Arguello Blvd","San Francisco","94118","1061049","Own","16","School District (Sfusd)","121,000","-122.45835614899994","37.782285288000026","2",
"1419","Rosa Parks Elementary / Raphael Weill CDC","1501 OFarrell St","San Francisco","94115","0723042","Own","16","School District (Sfusd)","66,900","-122.43001153999995","37.78349340300008","5",
"1444","Sanchez Elementary","325 Sanchez St","San Francisco","94114","3565001","Own","16","School District (Sfusd)","50,500","-122.430500027","37.76346007300003","8",
"1443","San Miguel CDC","300 Seneca Ave","San Francisco","94112","6962001","Own","16","School District (Sfusd)","52,545","-122.44485801699994","37.72149133400006","11",
"1479","SF Community School","125 EXCELSIOR AVE","San Francisco","94112","6012005","Own","16","School District (Sfusd)","66,900","-122.43226724699997","37.72592552100008","11",
"1484","SF International High","1050 York St","San Francisco","94110","4151006","Own","16","School District (Sfusd)",,"-122.40863966399996","37.75524584100003","9",
"1485","SF Public Montessori Elementary","2340 Jackson St","San Francisco","94115","0588004","Own","16","School District (Sfusd)","64,500","-122.43343825599999","37.79280502000006","2",
"1559","SFUSD -- 1340 Bush Garage","1340 Bush St","San Francisco","94109","0668001","Own","16","School District (Sfusd)",,"-122.41953315499995","37.78890342300008","3",
"1560","SFUSD -- 1360 43rd Ave","1360 43rd Ave","San Francisco","94122","1797007","Own","16","School District (Sfusd)",,"-122.50223226199995","37.76138560100003","4",
"1561","SFUSD -- 200 Middle Point Rd","200 Middle Point Rd","San Francisco","94124","4700008","Own","16","School District (Sfusd)",,"-122.38020409999996","37.734007004000034","10",
"1564","SFUSD -- 940 Filbert St","940 Filbert St","San Francisco","94133","0092006","Own","16","School District (Sfusd)",,"-122.41494538599994","37.800949213000024","3",
"1565","SFUSD -- Academics and Professional Development","750 25th Ave","San Francisco","94121","1620027","Own","16","School District (Sfusd)",,"-122.48386809899995","37.775523849000024","1",
"1567","SFUSD -- Administration - Van Ness","135 Van Ness Ave","San Francisco","94102","0815001","Own","16","School District (Sfusd)",,"-122.419932588","37.776802891000045","5",
"1568","SFUSD -- Buildings and Grounds","834 Toland St","San Francisco","94124","5588A001","Own","16","School District (Sfusd)",,"-122.40117705299997","37.74212790800004","10",
"1569","SFUSD -- Children's Center Administration Building","20 Cook St","San Francisco","94118","1067001A","Own","16","School District (Sfusd)",,"-122.45228262599994","37.783399718000055","2",
"1570","SFUSD -- Irving M Scott Building","1060 Tennessee St","San Francisco","94107","4107006","Own","16","School District (Sfusd)",,"-122.38958905699997","37.75856096900003","10",
"1575","SFUSD Lake Merced Facility (Unk)","Harding Rd & Skyline Blvd","San Francisco","94132","7283004","Own","16","School District (Sfusd)",,"-122.49658077599997","37.71719629200004","7",
"1571","SFUSD -- School Health Programs","1515 Quintara St","San Francisco","94116","2193025","Own","16","School District (Sfusd)",,"-122.48174268499997","37.748207329000024","4",
"1572","SFUSD -- SPEd Medical Therapy Unit (Laguna)","1015 Laguna St","San Francisco","94102","0758027","Own","16","School District (Sfusd)",,"-122.42731505899997","37.780627663000075","5",
"1573","SFUSD -- Student Nutrition Services","841 Ellis St","San Francisco","94109","0739013","Own","16","School District (Sfusd)",,"-122.42004011299997","37.78368758900007","5",
"1574","SFUSD -- Warehouse/Transportation","801 Toland St","San Francisco","94124","5588A001","Own","16","School District (Sfusd)",,"-122.40040808999998","37.74173316100007","10",
"1584","Sheridan Elementary","431 Capitol Ave","San Francisco","94112","7105001","Own","16","School District (Sfusd)","46,335","-122.459629415","37.71447598700007","11",
"1589","Sherman Elementary","1651 Union St","San Francisco","94123","0545001","Own","16","School District (Sfusd)","56,200","-122.42611796699998","37.79780159400008","2",
"1627","Spring Valley Elementary","1451 Jackson St","San Francisco","94109","0186007","Own","16","School District (Sfusd)","50,400","-122.41880011999996","37.79402002100005","3",
"1638","Starr King Elementary","1215 Carolina St","San Francisco","94107","4219054","Own","16","School District (Sfusd)","49,900","-122.39921113599996","37.753238520000025","10",
"1678","Sunnyside Elementary","250 Foerster St","San Francisco","94112","3121019","Own","16","School District (Sfusd)","30,900","-122.44823362599999","37.73028783900003","7",
"1683","Sunset Elementary","1920 41st Ave","San Francisco","94116","2094011","Own","16","School District (Sfusd)","40,150","-122.49952278499995","37.75059317300003","4",
"1694","Sutro Elementary","235 12th Ave","San Francisco","94118","1421006","Own","16","School District (Sfusd)","32,860","-122.47145160699995","37.783603441000025","1",
"1748","Tenderloin Elementary","627 Turk St","San Francisco","94102","0763010","Own","16","School District (Sfusd)","61,569","-122.41995051799995","37.78185450400008","5",
"3320","The Academy - San Francisco @ McAteer","555 Portola Dr","San Francisco","94131","7560003","Own","16","School District (Sfusd)",,"-122.44948465599998","37.745158477000075","8",
"1769","Theresa Mahler CDC","990 Church St","San Francisco","94114","3620076","Own","16","School District (Sfusd)","5,339","-122.42809663599996","37.75527352900008","8",
"1772","Thurgood Marshall High","45 Conkling St","San Francisco","94124","5351001","Own","16","School District (Sfusd)","149,796","-122.40146508999999","37.73573153500007","10",
"639","Tule Elk Park CDC","2110 Greenwich St","San Francisco","94123","0509003","Own","16","School District (Sfusd)","32,000","-122.43456148199999","37.79936327100006","2",
"1793","Ulloa Elementary","2650 42nd Ave","San Francisco","94116","2455001","Own","16","School District (Sfusd)","53,000","-122.49938854699997","37.73733034800006","4",
"1824","Visitacion Valley Elementary","55 Schwerin St","San Francisco","94134","6254001","Own","16","School District (Sfusd)","51,400","-122.41027497699997","37.71252500200006","10",
"1825","Visitacion Valley Middle","450 Raymond Ave","San Francisco","94134","6221003","Own","16","School District (Sfusd)",,"-122.41240776599994","37.71565156500003","10",
"1855","West Portal Elementary","5 Lenox Way","San Francisco","94127","2979014","Own","16","School District (Sfusd)","44,700","-122.46438898199995","37.74281606400007","7",
"1867","Willie L. Brown Jr. Middle School","2055 Silver Ave","San Francisco","94124","5346005","Own","16","School District (Sfusd)",,"-122.39891712299999","37.736429076000036","10",
"747","Willie Mays Boys & Girls Club","195 Kiska Rd","San Francisco","94124","4700052","Own","16","School District (Sfusd)",,"-122.37563973299996","37.72933623000006","10",
"3225","Woodside Learning Center","375 Woodside Ave","San Francisco","94127","2842007","Own","16","School District (Sfusd)",,"-122.45250513299999","37.745926541000074","7",
"1887","Yick Wo Elementary School","2245 Jones St","San Francisco","94133","0072001","Own","16","School District (Sfusd)",,"-122.41659653599999","37.801899588000026","3",
"1890","Zaida T Rodriguez Early Education","421 Bartlett St","San Francisco","94110","6529019","Own","16","School District (Sfusd)","1,800","-122.41917117999998","37.75014826800003","9",
